Foods,GI
Apple,36
Apple juice,41
Banana,51
Barley,28
"Carrots, boiled",39
Chapatti,52
Chickpeas,28
Chocolate,40
Dates,42
Ice cream,51
Kidney beans,24
Lentils,32
Mango,51
Orange,43
Orange juice,50
"Peaches, canned",43
Plantain,55
Rice noodles,53
Rolled oats,55
Skim milk,37
Soya beans,16
Soy milk,34
"Spaghetti, white",49
"Spaghetti, whole grain",48
Specialty grain bread,53
Strawberry jam,49
Sweet corn,52
"Taro, boiled",53
Udon noodles,55
Vegetable soup,48
Whole milk,39
"Yogurt, fruit",41